date,state,predicted_count,type
2027-05-31,Tamil Nadu,164.8783,forecast
2027-06-30,Tamil Nadu,160.22331,forecast
2027-07-31,Tamil Nadu,160.81245,forecast
2027-08-31,Tamil Nadu,162.31512,forecast
2027-09-30,Tamil Nadu,162.16396,forecast
2027-10-31,Tamil Nadu,169.26085,forecast
2027-11-30,Tamil Nadu,165.58885,forecast
2027-12-31,Tamil Nadu,162.7978,forecast
2028-01-31,Tamil Nadu,172.86221,forecast
2028-02-29,Tamil Nadu,171.56357,forecast
2028-03-31,Tamil Nadu,174.72937,forecast
2028-04-30,Tamil Nadu,156.37906,forecast
2028-05-31,Tamil Nadu,164.43584,forecast
2028-06-30,Tamil Nadu,160.42563,forecast
2028-07-31,Tamil Nadu,160.10104,forecast
2028-08-31,Tamil Nadu,162.31512,forecast
2028-09-30,Tamil Nadu,162.5924,forecast
2028-10-31,Tamil Nadu,169.91403,forecast
2028-11-30,Tamil Nadu,165.58885,forecast
2028-12-31,Tamil Nadu,162.7978,forecast
2029-01-31,Tamil Nadu,172.86221,forecast
2029-02-28,Tamil Nadu,171.56357,forecast
2029-03-31,Tamil Nadu,174.72937,forecast
2029-04-30,Tamil Nadu,156.37906,forecast
2029-05-31,Tamil Nadu,164.43584,forecast
2029-06-30,Tamil Nadu,160.42563,forecast
2029-07-31,Tamil Nadu,160.10104,forecast
2029-08-31,Tamil Nadu,162.31512,forecast
2029-09-30,Tamil Nadu,162.5924,forecast
2029-10-31,Tamil Nadu,169.91403,forecast
2029-11-30,Tamil Nadu,165.58885,forecast
2029-12-31,Tamil Nadu,162.7978,forecast
2030-01-31,Tamil Nadu,172.86221,forecast
2030-02-28,Tamil Nadu,171.56357,forecast
2030-03-31,Tamil Nadu,174.72937,forecast
2030-04-30,Tamil Nadu,156.37906,forecast
2030-05-31,Tamil Nadu,164.43584,forecast
2030-06-30,Tamil Nadu,160.42563,forecast
2030-07-31,Tamil Nadu,160.10104,forecast
2030-08-31,Tamil Nadu,162.31512,forecast
2030-09-30,Tamil Nadu,162.5924,forecast
2030-10-31,Tamil Nadu,169.91403,forecast
2030-11-30,Tamil Nadu,165.58885,forecast
2030-12-31,Tamil Nadu,162.7978,forecast
2026-01-31,Rajasthan,155.72275,forecast
2026-02-28,Rajasthan,153.62735,forecast
2026-03-31,Rajasthan,154.48824,forecast
2026-04-30,Rajasthan,158.13338,forecast
2026-05-31,Rajasthan,157.59804,forecast
2026-06-30,Rajasthan,155.82722,forecast
2026-07-31,Rajasthan,150.00732,forecast
2026-08-31,Rajasthan,149.65582,forecast
2026-09-30,Rajasthan,151.03459,forecast
2026-10-31,Rajasthan,153.35413,forecast
2026-11-30,Rajasthan,151.92313,forecast
2026-12-31,Rajasthan,148.75232,forecast
2027-01-31,Rajasthan,155.34161,forecast
2027-02-28,Rajasthan,156.22705,forecast
2027-03-31,Rajasthan,159.6626,forecast
2027-04-30,Rajasthan,152.05139,forecast
2027-05-31,Rajasthan,149.67487,forecast
2027-06-30,Rajasthan,144.19423,forecast
2027-07-31,Rajasthan,147.153,forecast
2027-08-31,Rajasthan,149.65582,forecast
2027-09-30,Rajasthan,150.59799,forecast
2027-10-31,Rajasthan,150.4998,forecast
2027-11-30,Rajasthan,149.601,forecast
2027-12-31,Rajasthan,154.9047,forecast
2028-01-31,Rajasthan,155.79698,forecast
2028-02-29,Rajasthan,156.22705,forecast
2028-03-31,Rajasthan,159.6626,forecast
2028-04-30,Rajasthan,152.05139,forecast
2028-05-31,Rajasthan,149.67487,forecast
2028-06-30,Rajasthan,145.04973,forecast
2028-07-31,Rajasthan,147.153,forecast
2028-08-31,Rajasthan,149.65582,forecast
2028-09-30,Rajasthan,151.94086,forecast
2028-10-31,Rajasthan,153.35413,forecast
2028-11-30,Rajasthan,151.92313,forecast
2028-12-31,Rajasthan,148.75232,forecast
2029-01-31,Rajasthan,154.48611,forecast
