date,forecast,lower_bound,upper_bound
2028-10-31,56636.61172884346,41904.00063621638,71005.27280728651
2028-11-30,61473.370687386705,48075.221143202725,76068.40637655793
2028-12-31,41755.96853898039,26654.05874572668,56031.585412032124
2029-01-31,46640.20090870737,32237.915659624017,61862.12640862097
2029-02-28,45918.2991628631,32396.555643563872,58941.93769962161
2029-03-31,45731.41499380858,31708.872957504136,61431.831794231955
2029-04-30,44920.937361999044,30681.811217371054,60055.239187389074
2029-05-31,38900.29778376583,25378.726709041315,52810.12584329767
2029-06-30,44429.43439771888,30767.314589201113,58617.24172540134
2029-07-31,43941.652791107284,28063.612629814106,57801.46858239418
2029-08-31,44576.64485642895,29891.266436528178,59595.69693291247
2029-09-30,42162.15370861652,28374.557999763936,55632.01131087537
2029-10-31,58723.037149237745,43510.920383607496,72968.58155531267
2029-11-30,63879.13676962268,50052.42082177383,78115.35738921493
2029-12-31,44095.64432064047,30436.605411834487,58633.91155280416
2030-01-31,48849.407182573006,33493.22357296048,64246.38788871035
2030-02-28,48235.9805138878,34012.093429099026,62419.4314441526
2030-03-31,47962.5308640329,33463.08468723549,62396.40179768295
2030-04-30,47259.351926994714,32992.09113111177,61230.36756064295
2030-05-31,41155.64245762301,26935.725157174595,55674.59360481052
2030-06-30,46670.10025466462,32509.98711801364,60937.66731803395
2030-07-31,46218.42017644614,32235.889727479727,60371.51823923531
2030-08-31,46858.07311165145,33301.32944058725,61538.59752469755
2030-09-30,44408.856535358245,30549.14085462825,58724.00729580821
2030-10-31,60808.59519440091,47405.31502489276,74578.18290336053
2030-11-30,66282.45799452014,51666.32937367415,80845.85369095352
2030-12-31,46437.91781942389,32744.228987344588,59726.30436981018
